state,x,y
Andhra Pradesh,-79,-155
Telangana,-88,-99
Tamil Nadu,-106,-283
Kerla,-157,-302
Karnataka,-178,-157
Odisha,39,-28
Chattisgarh,-8,3
Maharastra,-167,-46
Madhya Pradesh,-110,56
Gujarat,-262,52
Rajasthan,-214,157
Uttar Prasdesh,-52,153
Bihar,66,118
Jharkhand,53,62
West Bengal,116,50
Sikkim,137,116
Meghalaya,200,122
Assam,236,142
Arunachal Pradesh,269,200
Nagaland,271,137
Manipur,260,97
Mizoram,238,53
Haryana,-138,220
Delhi,-119,202
Chandigarh,-161,263
Uttarkhand,-72,246
Himachal Pradesh,-116,292
Jammu & Kashmir,-134,361
